X,Y,Outcome,Bodypart
90.6999969,57.299999199999995,0,1
90.1999969,62.4000015,0,0
84.3000031,28.700000799999998,0,0
80.0999985,66.9000015,0,0
68.8000031,43.5,0,0
90.3000031,55.00000000000001,0,0
90.6999969,53.5999985,0,0
90.3000031,47.5,0,1
96.4000015,41.7999992,0,1
90.5999985,63.7000008,0,1
86.5999985,73.9000015,0,0
97.5999985,58.099998500000005,0,1
85.5,57.7000008,0,0
88.9000015,46.4000015,0,0
90.0,30.2999992,0,0
77.4000015,43.5,0,0
77.9000015,39.5,0,0
84.5,62.0999985,0,0
79.5999985,31.5,0,0
92.8000031,51.7999992,0,1
95.19999689999999,66.0,0,0
74.3000031,49.4000015,0,0
79.6999969,30.1000004,0,0
73.0999985,58.799999199999995,0,0
89.6999969,48.599998500000005,0,1
89.0,64.0,0,0
98.0,54.0,1,0
78.5,61.2999992,0,0
93.0999985,54.599998500000005,0,0
72.6999969,37.0999985,0,0
77.4000015,49.5,0,0
85.8000031,54.599998500000005,0,0
88.8000031,59.9000015,0,0
94.9000015,50.4000015,1,1
74.4000015,49.2999992,0,0
96.3000031,58.299999199999995,0,0
85.5999985,61.7999992,0,0
90.9000015,50.0999985,0,1
96.0,36.099998500000005,0,0
72.9000015,43.5,0,0
91.1999969,33.2000008,0,0
77.0999985,60.4000015,0,0
89.5999985,50.7000008,0,1
80.6999969,49.9000015,0,0
77.1999969,70.5,0,0
72.6999969,29.899999599999997,0,0
68.9000015,45.7000008,0,0
96.6999969,70.9000015,0,0
79.80000310000001,67.8000031,0,0
95.4000015,49.4000015,1,0
92.0999985,48.4000015,0,0
94.5,47.9000015,0,0
92.5,50.2999992,0,1
96.0999985,48.2000008,1,0
95.3000031,56.900001499999995,0,0
93.0,36.0,0,0
91.5999985,57.299999199999995,0,1
78.3000031,44.2000008,0,0
90.0999985,64.5999985,0,0
92.4000015,64.1999969,0,0
89.3000031,53.5999985,1,0
73.6999969,46.0,0,0
89.3000031,29.1000004,0,0
77.3000031,32.7999992,0,0
85.1999969,51.0999985,0,0
91.4000015,60.9000015,0,0
75.1999969,51.0,0,0
90.8000031,46.9000015,0,0
88.5,50.0,1,0
78.8000031,60.9000015,0,0
85.8000031,68.4000015,0,0
91.1999969,46.0999985,0,1
93.1999969,56.299999199999995,0,1
92.6999969,72.0,0,0
91.0999985,51.2000008,1,0
70.9000015,65.1999969,0,0
85.3000031,49.7000008,0,0
86.0,72.0,0,0
78.0,62.4000015,0,0
86.5999985,67.0,1,0
85.4000015,50.2000008,0,0
79.1999969,67.5,0,0
91.8000031,51.0,1,0
92.9000015,56.299999199999995,1,0
77.9000015,54.599998500000005,0,0
88.0,71.8000031,0,0
74.9000015,30.1000004,0,0
72.6999969,64.5,0,0
88.0999985,58.099998500000005,0,0
73.9000015,47.4000015,0,0
73.0999985,68.4000015,0,0
89.1999969,56.400001499999995,0,1
91.0,53.5999985,0,1
89.5,43.5,0,0
71.5999985,47.200000800000005,0,0
74.4000015,76.0,0,0
71.5999985,42.4000015,0,0
93.8000031,37.5999985,0,1
96.6999969,49.9000015,0,1
75.4000015,73.5999985,0,0
95.5,37.2999992,1,0
71.9000015,43.2999992,0,0
84.6999969,50.4000015,0,0
88.9000015,63.5,0,0
96.5999985,65.0999985,0,0
81.1999969,51.5999985,0,0
92.8000031,23.7000008,0,0
88.9000015,43.0,0,0
85.0999985,69.5,0,0
85.3000031,64.4000015,0,0
77.4000015,31.299999200000002,0,0
90.5,45.7000008,0,0
77.8000031,48.2000008,0,0
51.4000015,28.2999992,0,0
79.80000310000001,63.0999985,0,0
75.0999985,61.5999985,0,0
71.4000015,49.2999992,0,0
94.3000031,65.1999969,0,0
91.6999969,50.2000008,0,0
71.5999985,59.4000015,0,0
91.4000015,52.5999985,1,0
80.9000015,37.5,1,0
71.1999969,58.2000008,0,0
89.3000031,47.200000800000005,0,0
80.0,32.2000008,0,0
76.9000015,61.7999992,0,0
85.8000031,68.8000031,0,0
89.1999969,34.0,0,0
91.5,49.099998500000005,0,0
85.4000015,49.9000015,0,1
87.0,30.0,1,0
85.1999969,71.4000015,0,0
72.0999985,46.799999199999995,0,0
79.5,33.2999992,0,0
91.1999969,44.2000008,0,1
79.1999969,74.0,0,0
88.1999969,73.0,0,0
86.0,73.3000031,0,0
96.9000015,48.7999992,1,1
78.6999969,62.4000015,0,0
